id,category,clickRate,timeBeforeFirstClick,attractivenessRate,exposureRate,CRpClick,,,,,,,,,,,,,,,
1,Meat & Seafood,0.80%,46.1s,4.93%,16.80%,8.90%,,,,,,,,,,,,,,,
2,Fruits & Vegetables,0.52%,62.2s,3.17%,16.80%,15.70%,,,,,,,,,,,,,,,
3,Bread & Bakery,0.32%,50.1s,1.97%,16.80%,13.60%,,,,,,,,,,,,,,,
4,"Dairy, Eggs & Cheese",0.35%,52.8s,2.15%,16.80%,15.30%,,,,,,,,,,,,,,,
5,Beverages,0.16%,50.0s,0.96%,16.80%,9.93%,,,,,,,,,,,,,,,
6,Frozen Foods,0.16%,57.9s,0.97%,16.80%,10%,,,,,,,,,,,,,,,
7,Deli,0.20%,47.9s,1.20%,16.80%,8.71%,,,,,,,,,,,,,,,
8,"Wine, Spirits & Beers",0.15%,45.7s,0.93%,16.80%,7.45%,,,,,,,,,,,,,,,
9,"Cookies, Snacks & Candy",0.10%,56s,0.86%,12.40%,11.20%,,,,,,,,,,,,,,,
10,"Paper, Cleaning & Home",0.09%,64.2s,0.79%,12.40%,13.30%,,,,,,,,,,,,,,,
11,Canned Goods & Soups,0.09%,67.9s,0.77%,12.40%,12.50%,,,,,,,,,,,,,,,
12,Breakfast & Cereal,0.07%,62.1s,0.61%,12.40%,12.30%,,,,,,,,,,,,,,,
13,Personal Care & Health,0.05%,62.2s,0.43%,12.40%,12.30%,,,,,,,,,,,,,,,
14,Deals,0.26%,51.5s,2.19%,12.40%,6.33%,,,,,,,,,,,,,,,
15,Exclusive Brands,0.02%,77.1s,0.17%,12.40%,7.55%,,,,,,,,,,,,,,,
16,View More,0.15%,54.4s,1.19%,12.40%,5.65%,,,,,,,,,,,,,,,